Activity,Opened,RID,St,Type,Sc,SIC,NAICS,Vio,Establishment Name,query,query_start,query_end
1571248.015,01/06/2022,953210,NV,Complaint,Partial,,452319,4,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1569923.015,12/22/2021,111100,ME,Complaint,Partial,,452319,6,"Dollar Tree Stores, Llc",Dollar Tree,2012-12-19,2022-12-19
1568293.015,12/06/2021,453730,NC,Complaint,Partial,5311.0,452112,2,"150724 - Dollar Tree Stores, Inc. - Store #2101",Dollar Tree,2012-12-19,2022-12-19
1566768.015,12/03/2021,953210,NV,Referral,Partial,,452319,1,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1566892.015,12/02/2021,352420,MD,Complaint,Partial,,452319,6,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1567732.015,11/22/2021,1054111,OR,Complaint,Partial,5331.0,452990,5,317729589 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1563774.015,11/22/2021,355112,VA,Complaint,Partial,,452319,2,"Dollar Tree Stores, Inc. #128",Dollar Tree,2012-12-19,2022-12-19
1562499.015,11/08/2021,316700,PA,Complaint,Partial,,452319,6,Dollar Tree Stores Inc.,Dollar Tree,2012-12-19,2022-12-19
1558709.015,10/11/2021,1054112,OR,Complaint,Partial,5331.0,452990,3,317728680 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1554234.015,09/23/2021,355114,VA,Complaint,Partial,,452319,1,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1553912.015,09/15/2021,452110,KY,Complaint,Partial,5999.0,453998,3,64193 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1549799.015,08/26/2021,355112,VA,Referral,Partial,,493110,2,Dollar Tree Distribution Inc.,Dollar Tree,2012-12-19,2022-12-19
1549652.015,08/25/2021,1055340,WA,Referral,Partial,,452990,2,Wa317965444 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1557108.015,08/11/2021,155010,VT,Complaint,Partial,,452319,1,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1547315.015,08/06/2021,1055330,WA,Referral,Partial,,452990,1,Wa317965178 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1546323.015,08/06/2021,420600,FL,Complaint,Partial,,452319,2,"Skm Partners, Llc And Dollar Tree Stores, Inc. And Family Dollar Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1546030.015,08/05/2021,626700,TX,Complaint,Partial,,453998,1,"Dollar Tree, Inc",Dollar Tree,2012-12-19,2022-12-19
1542587.015,07/16/2021,452110,KY,FollowUp,Partial,5399.0,452990,4,63974 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1540132.015,07/02/2021,1055340,WA,Complaint,Partial,,452990,1,Wa317964683 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1540075.015,07/01/2021,454510,SC,Complaint,Partial,5331.0,452990,1,75056 - Dollar Tree Distribution Center - 11,Dollar Tree,2012-12-19,2022-12-19
1539820.015,07/01/2021,454510,SC,Complaint,Partial,4225.0,493110,1,75054 - Dollar Tree Distribution Center - 11,Dollar Tree,2012-12-19,2022-12-19
1537367.015,06/18/2021,551800,IN,Referral,Partial,5331.0,452990,2,112014 - Dollar Tree,Dollar Tree,2012-12-19,2022-12-19
1537421.015,06/15/2021,1055340,WA,Unprog Rel,Partial,,493110,1,Wa317964490 - Dollar Tree Distribution Inc,Dollar Tree,2012-12-19,2022-12-19
1535320.015,06/09/2021,352460,MD,Complaint,Partial,,445120,2,"Dollar Tree, Inc.",Dollar Tree,2012-12-19,2022-12-19
1532022.015,05/19/2021,352460,MD,Complaint,Partial,,452319,3,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1532505.015,05/19/2021,352420,MD,Complaint,Partial,,452319,3,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1530606.015,05/06/2021,1055330,WA,Complaint,Partial,,452990,1,Wa317963973 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1529043.015,05/05/2021,523400,WI,Complaint,Partial,,452319,2,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
